customer_id,industry,signup_date,subscription_tier,mrr,churn_status,churn_date
CUST-00001,Healthcare,2024-05-12,Pro,49,Active,
CUST-00002,Tech,2025-09-21,Pro,49,Active,
CUST-00003,Tech,2025-07-30,Basic,19,Active,
CUST-00004,Tech,2025-05-23,Basic,19,Active,
CUST-00005,Healthcare,2025-06-16,Pro,49,Active,
CUST-00006,Healthcare,2026-01-16,Pro,49,Active,
CUST-00007,Retail,2025-10-09,Enterprise,199,Active,
CUST-00008,Tech,2025-05-24,Pro,49,Active,
CUST-00009,Finance,2025-05-19,Pro,49,Active,
CUST-00010,Tech,2024-07-03,Basic,19,Active,
CUST-00011,Tech,2025-09-16,Basic,19,Active,
CUST-00012,Finance,2024-08-26,Basic,19,Active,
CUST-00013,Tech,2025-12-26,Enterprise,199,Active,
CUST-00014,Tech,2024-10-24,Basic,19,Churned,2025-03-24
CUST-00015,Healthcare,2024-07-17,Enterprise,199,Active,
CUST-00016,Finance,2024-01-02,Pro,49,Churned,2024-03-02
CUST-00017,Tech,2024-05-01,Basic,19,Active,
CUST-00018,Finance,2024-01-25,Basic,19,Active,
CUST-00019,Retail,2025-04-21,Enterprise,199,Active,
CUST-00020,Tech,2025-10-02,Basic,19,Active,
CUST-00021,Retail,2024-04-30,Basic,19,Churned,2024-10-23
CUST-00022,Healthcare,2026-01-25,Basic,19,Active,
CUST-00023,Tech,2024-07-31,Basic,19,Active,
CUST-00024,Tech,2025-09-22,Basic,19,Active,
CUST-00025,Education,2025-02-28,Enterprise,199,Active,
CUST-00026,Tech,2025-02-27,Basic,19,Churned,2025-08-25
CUST-00027,Tech,2024-02-16,Pro,49,Active,
CUST-00028,Tech,2024-12-07,Basic,19,Active,
CUST-00029,Retail,2024-12-24,Pro,49,Active,
CUST-00030,Healthcare,2025-07-27,Basic,19,Active,
CUST-00031,Retail,2025-10-14,Basic,19,Churned,2025-12-14
CUST-00032,Healthcare,2024-08-05,Basic,19,Active,
CUST-00033,Finance,2024-01-12,Enterprise,199,Active,
CUST-00034,Education,2025-10-17,Enterprise,199,Active,
CUST-00035,Tech,2024-07-25,Basic,19,Active,
CUST-00036,Finance,2025-12-07,Enterprise,199,Active,
CUST-00037,Retail,2024-10-15,Basic,19,Active,
CUST-00038,Healthcare,2024-09-17,Basic,19,Active,
CUST-00039,Retail,2024-03-10,Pro,49,Active,
CUST-00040,Finance,2024-11-11,Pro,49,Active,
CUST-00041,Healthcare,2024-11-03,Pro,49,Churned,2025-02-06
CUST-00042,Tech,2025-06-02,Basic,19,Active,
CUST-00043,Tech,2025-07-17,Basic,19,Active,
CUST-00044,Tech,2024-11-27,Pro,49,Active,
CUST-00045,Tech,2026-02-24,Pro,49,Active,
CUST-00046,Tech,2024-01-07,Basic,19,Churned,2024-04-09
CUST-00047,Tech,2024-04-26,Basic,19,Active,
CUST-00048,Tech,2025-12-03,Basic,19,Active,
CUST-00049,Healthcare,2024-12-07,Basic,19,Active,
CUST-00050,Tech,2024-12-15,Basic,19,Active,
CUST-00051,Tech,2025-02-09,Enterprise,199,Active,
CUST-00052,Tech,2026-01-11,Basic,19,Active,
CUST-00053,Tech,2025-08-05,Pro,49,Active,
CUST-00054,Education,2025-09-22,Enterprise,199,Active,
CUST-00055,Healthcare,2024-01-30,Basic,19,Active,
CUST-00056,Healthcare,2024-06-28,Pro,49,Active,
CUST-00057,Tech,2024-07-17,Basic,19,Active,
CUST-00058,Healthcare,2024-12-04,Basic,19,Churned,2025-04-07
CUST-00059,Tech,2024-12-12,Pro,49,Active,
CUST-00060,Tech,2025-11-19,Basic,19,Active,
CUST-00061,Education,2025-05-05,Basic,19,Active,
CUST-00062,Healthcare,2025-04-30,Enterprise,199,Active,
CUST-00063,Finance,2024-02-06,Pro,49,Active,
CUST-00064,Healthcare,2025-10-23,Enterprise,199,Active,
CUST-00065,Retail,2024-05-19,Pro,49,Active,
CUST-00066,Retail,2025-05-08,Basic,19,Active,
CUST-00067,Tech,2024-06-08,Pro,49,Churned,2024-08-25
CUST-00068,Tech,2025-10-04,Basic,19,Active,
