customer_id,days_active_last_30,support_tickets_last_30,storage_used_gb
CUST-00001,20,2,57.5
CUST-00002,17,8,47.9
CUST-00003,20,0,59.7
CUST-00004,10,2,72.8
CUST-00005,25,2,46.5
CUST-00006,19,2,46.5
CUST-00007,21,3,73.7
CUST-00008,11,2,61.5
CUST-00009,15,2,43.0
CUST-00010,14,1,58.1
CUST-00011,11,2,43.0
CUST-00012,8,2,43.0
CUST-00013,26,1,53.6
CUST-00014,1,0,21.3
CUST-00015,28,0,24.1
CUST-00016,1,8,41.6
CUST-00017,10,1,34.8
CUST-00018,7,2,54.7
CUST-00019,24,3,36.4
CUST-00020,8,0,28.8
CUST-00021,4,2,72.0
CUST-00022,8,2,46.6
CUST-00023,18,1,51.0
CUST-00024,7,1,28.6
CUST-00025,26,1,41.8
CUST-00026,4,2,51.7
CUST-00027,13,5,32.7
CUST-00028,8,2,55.6
CUST-00029,24,1,41.0
CUST-00030,11,0,45.6
CUST-00031,4,1,41.0
CUST-00032,10,2,77.8
CUST-00033,23,0,49.8
CUST-00034,30,2,34.1
CUST-00035,15,1,62.3
CUST-00036,29,2,31.7
CUST-00037,6,0,53.1
CUST-00038,11,1,20.6
CUST-00039,21,1,30.1
CUST-00040,18,2,53.0
CUST-00041,5,1,61.1
CUST-00042,9,2,52.6
CUST-00043,13,2,48.3
CUST-00044,21,1,45.5
CUST-00045,15,2,27.8
CUST-00046,0,1,39.2
CUST-00047,8,2,43.1
CUST-00048,7,1,65.9
CUST-00049,9,1,55.2
CUST-00050,8,0,23.6
CUST-00051,21,3,54.9
CUST-00052,14,2,44.2
CUST-00053,21,1,39.8
CUST-00054,29,2,59.2
CUST-00055,17,1,65.5
CUST-00056,22,5,64.0
CUST-00057,9,0,37.4
CUST-00058,5,2,45.4
CUST-00059,23,5,55.0
CUST-00060,19,1,64.6
CUST-00061,12,1,42.8
CUST-00062,26,2,47.2
CUST-00063,12,5,33.4
CUST-00064,29,1,32.1
CUST-00065,25,2,62.2
CUST-00066,9,1,70.3
CUST-00067,5,8,48.9
CUST-00068,16,1,65.1
CUST-00069,11,8,55.4
CUST-00070,22,1,40.3
CUST-00071,11,2,55.4
CUST-00072,8,1,73.1
CUST-00073,2,8,49.5
CUST-00074,17,0,73.5
CUST-00075,6,2,10.7
CUST-00076,20,3,62.3
CUST-00077,5,2,51.3
CUST-00078,5,1,45.5
CUST-00079,9,0,51.4
CUST-00080,22,0,20.2
CUST-00081,17,1,46.7
CUST-00082,13,0,55.4
CUST-00083,10,1,72.2
CUST-00084,0,1,42.2
CUST-00085,15,1,37.9
CUST-00086,20,0,42.5
CUST-00087,26,0,63.7
CUST-00088,9,2,54.9
CUST-00089,0,8,42.1
CUST-00090,5,1,57.7
CUST-00091,15,2,51.5
CUST-00092,25,1,64.5
CUST-00093,12,1,39.5
CUST-00094,18,1,45.1
CUST-00095,30,1,44.1
CUST-00096,8,2,28.0
CUST-00097,14,1,54.4
CUST-00098,13,0,53.9
CUST-00099,20,3,50.1
CUST-00100,17,0,46.5
CUST-00101,12,2,28.8
CUST-00102,18,0,43.7
CUST-00103,16,1,44.9
CUST-00104,12,1,38.0
CUST-00105,1,0,47.6
CUST-00106,8,1,56.1
CUST-00107,16,1,78.3
CUST-00108,5,2,52.6
CUST-00109,21,1,53.9
CUST-00110,16,2,48.9
CUST-00111,1,2,21.2
CUST-00112,11,5,49.6
CUST-00113,23,1,50.9
CUST-00114,28,0,86.9
CUST-00115,11,1,47.1
CUST-00116,11,0,54.5
CUST-00117,21,8,49.5
CUST-00118,8,2,32.5
CUST-00119,5,1,67.1
CUST-00120,0,0,61.3
CUST-00121,22,5,61.9
CUST-00122,12,2,36.4
CUST-00123,22,2,71.0
CUST-00124,5,0,29.0
CUST-00125,5,2,58.8
CUST-00126,18,2,82.9
CUST-00127,13,2,35.1
CUST-00128,12,0,41.5
CUST-00129,18,8,51.5
CUST-00130,12,0,42.4
CUST-00131,5,0,26.7
CUST-00132,2,8,51.0
CUST-00133,19,2,34.1
CUST-00134,16,0,57.1
CUST-00135,24,1,36.2
CUST-00136,13,8,73.2
CUST-00137,18,8,38.3
CUST-00138,24,2,45.2
CUST-00139,17,2,62.2
CUST-00140,18,2,31.5
CUST-00141,27,0,53.4
CUST-00142,11,0,69.6
CUST-00143,30,1,25.9
CUST-00144,17,0,52.8
CUST-00145,7,0,53.9
CUST-00146,17,2,61.7
CUST-00147,10,5,31.4
CUST-00148,8,0,30.2
CUST-00149,2,5,57.8
CUST-00150,5,2,54.5
CUST-00151,15,0,53.8
CUST-00152,20,0,55.2
CUST-00153,24,1,39.8
CUST-00154,13,0,53.5
CUST-00155,8,0,54.4
CUST-00156,0,1,39.3
CUST-00157,9,1,78.0
CUST-00158,17,2,57.1
CUST-00159,1,8,32.1
CUST-00160,0,1,59.8
CUST-00161,6,0,35.4
CUST-00162,15,2,61.8
CUST-00163,19,1,67.4
CUST-00164,13,0,37.7
CUST-00165,12,8,64.5
CUST-00166,30,1,56.2
CUST-00167,20,1,62.3
CUST-00168,13,1,78.5
CUST-00169,10,0,46.3
CUST-00170,18,1,38.7
CUST-00171,22,2,36.7
CUST-00172,23,1,37.8
CUST-00173,17,2,48.8
CUST-00174,17,2,55.1
CUST-00175,11,0,54.2
CUST-00176,20,2,62.4
CUST-00177,25,0,50.2
CUST-00178,4,5,71.8
CUST-00179,23,3,46.0
CUST-00180,9,2,90.8
CUST-00181,10,1,59.4
CUST-00182,8,0,37.1
CUST-00183,1,2,33.9
CUST-00184,5,0,57.2
CUST-00185,15,1,46.6
CUST-00186,14,2,60.7
CUST-00187,10,2,57.1
CUST-00188,6,2,48.9
CUST-00189,5,0,37.3
CUST-00190,13,1,27.3
CUST-00191,23,5,43.3
CUST-00192,17,0,62.8
CUST-00193,17,0,53.2
CUST-00194,7,0,31.3
CUST-00195,17,1,52.6
CUST-00196,18,1,55.8
CUST-00197,16,0,36.7
CUST-00198,19,1,52.3
CUST-00199,5,0,50.9
CUST-00200,11,2,32.9
CUST-00201,7,1,55.4
CUST-00202,0,2,58.4
CUST-00203,25,0,66.2
CUST-00204,25,1,65.8
CUST-00205,0,8,29.3
CUST-00206,10,5,35.9
CUST-00207,6,2,57.7
CUST-00208,7,1,57.7
CUST-00209,12,2,57.7
CUST-00210,15,5,107.8
CUST-00211,2,8,58.6
CUST-00212,1,2,67.0
CUST-00213,7,2,64.3
CUST-00214,13,8,59.8
CUST-00215,7,1,45.3
CUST-00216,14,0,61.4
CUST-00217,5,1,38.4
CUST-00218,25,1,46.4
CUST-00219,14,2,42.7
CUST-00220,20,3,51.2
CUST-00221,9,1,84.7
CUST-00222,4,5,22.0
CUST-00223,6,2,60.3
CUST-00224,17,5,25.8
CUST-00225,13,1,42.9
CUST-00226,7,1,66.3
CUST-00227,25,0,51.0
CUST-00228,5,8,33.8
CUST-00229,18,1,39.3
CUST-00230,15,1,60.2
CUST-00231,20,2,39.0
CUST-00232,9,2,53.2
CUST-00233,15,0,50.7
CUST-00234,20,3,40.2
CUST-00235,20,1,82.2
CUST-00236,18,0,59.5
CUST-00237,12,1,19.6
CUST-00238,19,2,52.8
CUST-00239,0,5,40.1
CUST-00240,25,3,62.8
CUST-00241,16,0,38.1
CUST-00242,10,2,48.3
CUST-00243,17,2,57.6
CUST-00244,4,8,63.0
CUST-00245,1,2,32.0
CUST-00246,8,1,45.0
CUST-00247,10,1,42.9
CUST-00248,30,1,40.2
CUST-00249,20,0,76.5
CUST-00250,28,3,56.1
CUST-00251,16,1,31.1
CUST-00252,25,0,63.8
CUST-00253,8,1,81.8
CUST-00254,23,2,65.5
CUST-00255,3,2,27.2
CUST-00256,10,0,42.7
CUST-00257,18,2,69.0
CUST-00258,13,8,39.4
CUST-00259,10,1,56.7
CUST-00260,8,1,61.6
CUST-00261,19,8,36.1
CUST-00262,17,1,49.1
CUST-00263,25,0,1.4
CUST-00264,30,3,34.6
CUST-00265,21,1,46.2
CUST-00266,18,1,31.3
CUST-00267,30,3,74.5
CUST-00268,2,3,28.5
CUST-00269,20,2,43.4
CUST-00270,23,3,52.0
CUST-00271,17,2,71.6
CUST-00272,14,2,28.5
CUST-00273,10,2,67.4
CUST-00274,18,0,50.2
CUST-00275,13,1,35.3
CUST-00276,18,8,56.9
CUST-00277,3,1,53.0
CUST-00278,0,2,41.0
CUST-00279,14,1,51.0
CUST-00280,2,5,44.2
CUST-00281,17,0,51.7
CUST-00282,14,1,59.9
CUST-00283,0,2,73.8
CUST-00284,2,1,31.4
CUST-00285,26,1,82.0
CUST-00286,25,2,20.7
CUST-00287,18,2,47.7
CUST-00288,10,1,58.8
CUST-00289,6,0,54.2
CUST-00290,20,1,40.7
CUST-00291,18,1,46.9
CUST-00292,5,0,42.6
CUST-00293,0,1,41.2
CUST-00294,7,0,62.7
CUST-00295,24,2,55.4
CUST-00296,28,2,39.6
CUST-00297,18,1,63.5
CUST-00298,13,0,54.6
CUST-00299,18,8,62.2
CUST-00300,14,2,59.4
CUST-00301,20,2,37.6
CUST-00302,13,2,41.6
CUST-00303,2,5,61.2
CUST-00304,27,0,59.2
CUST-00305,13,2,49.7
CUST-00306,16,2,51.8
CUST-00307,18,1,69.2
CUST-00308,11,0,41.1
CUST-00309,5,1,58.2
CUST-00310,15,1,47.0
CUST-00311,16,2,46.7
CUST-00312,7,1,66.5
CUST-00313,1,5,62.4
CUST-00314,3,1,62.2
CUST-00315,10,1,69.6
CUST-00316,10,1,50.3
CUST-00317,10,8,60.2
CUST-00318,6,1,45.3
CUST-00319,25,0,54.9
CUST-00320,18,0,48.0
CUST-00321,3,1,51.5
CUST-00322,24,2,58.9
CUST-00323,21,8,37.7
CUST-00324,6,0,81.4
CUST-00325,18,1,34.9
CUST-00326,16,2,31.8
CUST-00327,11,1,67.4
CUST-00328,5,1,61.9
CUST-00329,18,8,59.4
CUST-00330,21,3,59.4
CUST-00331,30,3,49.8
CUST-00332,12,2,36.5
CUST-00333,20,8,51.1
CUST-00334,13,0,39.8
CUST-00335,17,2,64.6
CUST-00336,0,1,47.8
CUST-00337,11,2,37.6
CUST-00338,8,1,45.2
CUST-00339,20,5,56.2
CUST-00340,9,1,41.5
CUST-00341,12,0,37.7
CUST-00342,11,1,53.7
CUST-00343,18,1,53.7
CUST-00344,8,2,42.4
CUST-00345,1,0,42.9
CUST-00346,19,1,53.5
CUST-00347,7,2,28.3
CUST-00348,18,1,28.9
CUST-00349,5,1,39.2
CUST-00350,24,1,46.8
CUST-00351,20,1,54.7
CUST-00352,12,0,72.1
CUST-00353,6,0,62.9
CUST-00354,8,2,47.6
CUST-00355,26,3,49.7
CUST-00356,13,2,35.0
CUST-00357,16,0,49.7
CUST-00358,5,1,45.7
CUST-00359,1,5,54.8
CUST-00360,9,1,37.6
CUST-00361,10,2,57.8
CUST-00362,10,0,73.0
CUST-00363,27,2,48.4
CUST-00364,20,0,56.0
CUST-00365,19,2,60.4
CUST-00366,14,1,44.0
CUST-00367,15,2,53.4
CUST-00368,18,8,50.2
CUST-00369,5,1,51.5
CUST-00370,20,1,38.4
CUST-00371,1,5,50.4
CUST-00372,5,1,57.5
CUST-00373,16,2,71.8
CUST-00374,8,1,64.4
CUST-00375,28,3,82.3
CUST-00376,25,2,38.5
CUST-00377,14,1,63.1
CUST-00378,4,5,52.8
CUST-00379,24,2,82.8
CUST-00380,9,2,37.9
CUST-00381,10,1,37.4
CUST-00382,5,1,41.0
CUST-00383,0,2,18.1
CUST-00384,2,2,42.1
CUST-00385,21,1,38.6
CUST-00386,11,2,52.3
CUST-00387,1,2,55.1
CUST-00388,2,5,78.1
CUST-00389,22,2,64.3
CUST-00390,14,2,41.3
CUST-00391,18,0,36.5
CUST-00392,14,0,57.4
CUST-00393,22,2,30.2
CUST-00394,24,1,77.5
CUST-00395,21,5,67.7
CUST-00396,18,1,43.0
CUST-00397,26,0,24.3
CUST-00398,12,1,70.3
CUST-00399,1,2,48.3
CUST-00400,19,0,68.6
CUST-00401,20,3,26.1
CUST-00402,8,2,41.0
CUST-00403,20,1,50.1
CUST-00404,29,0,50.7
CUST-00405,16,1,43.2
CUST-00406,2,8,59.3
CUST-00407,10,5,34.0
CUST-00408,4,1,47.9
CUST-00409,8,0,51.8
CUST-00410,11,2,57.7
CUST-00411,10,1,60.7
CUST-00412,24,2,33.1
CUST-00413,10,2,27.0
CUST-00414,15,5,69.2
CUST-00415,25,1,55.0
CUST-00416,3,8,38.8
CUST-00417,19,0,73.3
CUST-00418,14,0,51.7
CUST-00419,0,1,67.7
CUST-00420,22,2,51.0
CUST-00421,15,1,80.9
CUST-00422,25,1,76.3
CUST-00423,15,2,46.3
CUST-00424,15,2,64.6
CUST-00425,24,1,59.7
CUST-00426,12,8,70.5
CUST-00427,25,2,35.5
CUST-00428,13,2,60.3
CUST-00429,16,2,65.9
CUST-00430,10,1,23.6
CUST-00431,8,0,32.3
CUST-00432,17,2,19.4
CUST-00433,5,5,46.0
CUST-00434,21,3,60.8
CUST-00435,7,0,72.5
CUST-00436,5,2,51.1
CUST-00437,19,2,74.4
CUST-00438,23,1,29.3
CUST-00439,12,1,24.4
CUST-00440,5,2,49.2
CUST-00441,0,0,55.8
CUST-00442,7,1,49.5
CUST-00443,4,8,19.0
CUST-00444,21,2,48.7
CUST-00445,12,1,30.4
CUST-00446,2,8,60.0
CUST-00447,2,1,55.5
CUST-00448,13,1,35.9
CUST-00449,1,0,42.3
CUST-00450,26,2,34.1
CUST-00451,25,8,49.1
CUST-00452,20,0,64.3
CUST-00453,6,1,35.2
CUST-00454,4,5,57.6
CUST-00455,25,0,42.0
CUST-00456,28,0,38.1
CUST-00457,6,2,48.4
CUST-00458,16,0,34.5
CUST-00459,5,0,41.7
CUST-00460,17,0,32.0
CUST-00461,11,2,79.5
CUST-00462,18,0,50.5
CUST-00463,13,1,39.5
CUST-00464,25,2,53.2
CUST-00465,12,0,48.3
CUST-00466,11,1,46.7
CUST-00467,12,2,59.2
CUST-00468,19,0,61.4
CUST-00469,12,1,42.0
CUST-00470,20,1,41.4
CUST-00471,16,1,45.9
CUST-00472,17,2,15.5
CUST-00473,14,1,27.3
CUST-00474,15,1,70.5
CUST-00475,23,1,74.7
CUST-00476,16,1,46.3
CUST-00477,19,2,58.6
CUST-00478,5,1,54.7
CUST-00479,2,1,96.2
